time,open,high,low,close,Volume
1725148800,58940.37,59015.64,58940.36,58997.17,0.2403
1725149700,59001.9,59038.84,58863.73,58930.77,0.26039
1725150600,58922.26,58961.84,58883.85,58958.75,0.12339
1725151500,58870.87,58929.4,58870.87,58876.2,0.2018
1725152400,58878.85,58897.35,58852.44,58858.83,0.03227
1725153300,58853.19,58917.02,58819.98,58873.75,0.06563
1725154200,58890.15,58902.7,58838.09,58868.67,0.46408
1725155100,58876.02,58892.3,58829.14,58829.14,0.24477
1725156000,58824.92,58846.32,58551.03,58618.08,1.37004
1725156900,58605.89,58678.9,58283.3,58309.82,3.44666
1725157800,58309.28,58543.13,58270.29,58460.21,1.19831
1725158700,58467.45,58526.6,58415.68,58524.7,0.41244
1725159600,58491.28,58617.66,58381.07,58617.66,1.11482
1725160500,58588.69,58655.61,58557.14,58628.95,0.36038
1725161400,58621.5,58632.22,58558.41,58558.41,0.19152
1725162300,58560.98,58560.98,58486.13,58509.05,0.05552
1725163200,58508.68,58513.08,58377.69,58483.64,0.56084
1725164100,58484.52,58532.4,58409.31,58531.85,0.20499
1725165000,58546.27,58584.98,58515.76,58517.93,0.41362
1725165900,58518.51,58518.51,58350.9,58398.55,1.21219
1725166800,58437.97,58437.97,58204.46,58300.1,0.46447
1725167700,58320.15,58347.64,57852.52,58020.59,3.86815
1725168600,57956.46,58056.77,57777.11,57981.01,5.75128
1725169500,57984.59,58068.87,57898.57,57975.4,2.02763
1725170400,57979.25,58204.46,57949.95,58197.86,1.11474
1725171300,58168.01,58193.81,58112.61,58193.81,3.16348
1725172200,58195.14,58244.55,58126.88,58244.55,0.20968
1725173100,58260.12,58313.2,58186.32,58232.14,0.65065
1725174000,58217.36,58300.06,58192.16,58250.55,2.09234
1725174900,58260.48,58268.22,58188.68,58199.05,0.81478
1725175800,58199.05,58305.11,58196.28,58305.1,2.84006
1725176700,58325.28,58547.34,58325.28,58516.37,1.26693
1725177600,58521.09,58560.11,58428.89,58446.8,0.91796
